ethnicity,ethnicity_rec
white,White
branco,White
branca,White
caucasian,White
white (italian),White
white british,White
british,White
white-french,White
british white,White
white european,White
white-scottish,White
white scottish,White
white britisg,White
german,White
"german,",White
"german, swedish",White
german/argentinien,White
dutch,White
french,White
scottish,White
european,White
eastern european,White
croatian,White
serbian,White
romanian,White
white - other,White
meditrainian,White
black,Black
preta,Black
negra,Black
african american,Black
african (mauritian),Black
asian,Asian
asian (indian),Asian
south asian,Asian
southasian,Asian
east indian,Asian
chinese,Asian
chinese - east asian,Asian
asian/chinese,Asian
malaysian chinese,Asian
malaysia chinese,Asian
malaysian,Asian
indian,Asian
pakistani,Asian
hindu,Asian
british indian,Asian
indigenous,Indigenous
middle eastern,Middle Eastern or North African (MENA)
arab,Middle Eastern or North African (MENA)
east african middle eastern,Middle Eastern or North African (MENA)
israeli,Middle Eastern or North African (MENA)
israeli.,Middle Eastern or North African (MENA)
israel,Middle Eastern or North African (MENA)
muslim,Middle Eastern or North African (MENA)
turkish,Middle Eastern or North African (MENA)
tã¼rkiye,Middle Eastern or North African (MENA)
türkiye,Middle Eastern or North African (MENA)
latino,Latine
latina,Latine
latina branca,Latine
mexicana,Latine
mexicano,Latine
puerto rican/hispanic,Latine
hispanic,Latine
south american,Latine
mixed,Mixed
pardo,Mixed
parda,Mixed
pardo - mixed race,Mixed
mixraces,Mixed
chinese-indian-malay mixed,Mixed
mixed white & asian,Mixed
mix white/black,Mixed
white / middle-eastern,Mixed
white / middle eastern,Mixed
middle eastern/white,Mixed
ninguno,Ambiguous label
jewish,Ambiguous label
not hispanic/latino,Ambiguous label
